state,pending loans
Andaman & Nicobar,47
Andhra Pradesh,2159
Arunachal Pradesh,387
Assam,1818
Bihar,3549
Chandigarh,164
Chhattisgarh,1260
Dadra and Nagar Haveli and Daman and Diu,179
Delhi,5407
Goa,1272
Gujarat,4289
Haryana,5495
Himachal Pradesh,382
Jammu & Kashmir,5488
Jharkhand,2069
Karnataka,6661
Kerala,5376
Ladakh,176
Madhya Pradesh,5562
Maharashtra,4947
Manipur,635
Meghalaya,309
Mizoram,112
Nagaland,525
Odisha,4436
Puducherry,774
Punjab,2587
Rajasthan,6666
Sikkim,155
Tamil Nadu,6717
Telangana,3327
Tripura,676
Uttarakhand,937
Uttar Pradesh,5720
West Bengal,3679
